,store,sido,gungu,store_address
27,강릉옥계점,강원도,강릉시,강원도 강릉시  옥계면 현내시장길 59
28,강릉옥천동점,강원도,강릉시,강원도 강릉시  경강로 2166 1층(옥천동)
29,강릉유천점,강원도,강릉시,강원도 강릉시  선수촌로63번길 5 우미린상가106
30,강릉택지점,강원도,강릉시,강원도 강릉시  율곡초교길39번 23(교동)
31,강북점,대구광역시,북구,대구광역시 북구 읍내동 대천로9길 11-5
32,강상점,경기도,양평군,"경기도 양평군 강상면 강남로 922, 107호"
33,강서점,충청북도,청주시흥덕구,충청북도 청주시흥덕구 가로수로1154 5-21(강서동)
34,강선점,경기도,고양시일산서구,경기도 고양시일산서구 강선로 67번지 유원상가 103호
35,강진점,전라남도,강진군,전라남도 강진군 강진읍 탐진로 76-1
36,강화1점,인천광역시,강화군,인천광역시 강화군 강화읍 강화대로403번길 5
37,강화2점,인천광역시,강화군,인천광역시 강화군 강화읍 중앙로 27
38,개군점,경기도,양평군,경기도 양평군 개군면 하자포길 35
39,개금점,부산광역시,부산진구,부산광역시 부산진구 개금본동로32 
40,개봉1점,서울특별시,구로구,"서울특별시 구로구 개봉로11길 13, 1층 3호(개봉동)"
41,개신점,충청북도,청주시서원구,충청북도 청주시서원구 장구봉로 130 1층
42,개운점,강원도,원주시,강원도 원주시 송림길 48-10(개운동)
43,개포3점,서울특별시,강남구,서울특별시 강남구 개포로22길 23. 지상1층(개포동)
44,거모점,경기도,시흥시,"경기도 시흥시 도일로 100-3, 103호"
45,거제상동점,경상남도,거제시,경상남도 거제시 상동1길 15- 320동 1층
46,거진점,강원도,고성군,강원도 고성군 거진읍 거탄진로 117
47,거창점,경상남도,거창군,경상남도 거창군 거창읍 거열로2길 17
48,건등점,강원도,원주시,"강원도 원주시 문막읍 왕건로 96, 지하1층"
49,건영점,경기도,고양시일산서구,경기도 고양시일산서구 성저로 110번지
50,건천점,경상북도,경주시,"경상북도 경주시 건천읍 내서로 1126, 101"
51,검산점,전라북도,김제시,전라북도 김제시 검산택지5길 4 
52,검암경서점,인천광역시,서구,"인천광역시 서구 승학로 426, 우주프라자 104"
53,경기송산점,경기도,화성시,경기도 화성시 수노을1로 191
54,경남고성점,경상남도,고성군,경상남도 고성군 고성읍 중앙로43번길71
55,경남금산점,경상남도,진주시,경상남도 진주시 금산면 금산로 101
56,경남단계점,경상남도,산청군,경상남도 산청군 신등면 신등가회로 15
57,경남사천점,경상남도,사천시,경상남도 사천시 사천읍 정의1길 16
58,경남양산점,경상남도,양산시,경상남도 양산시 중앙로 111
59,경복점,서울특별시,강남구,"서울특별시 강남구 봉은사로43길 8, 1층 (논현동)"
60,경안점,경기도,광주시,경기도 광주시 중앙로 179 (송정동)
61,경포대점,강원도,강릉시,강원도 강릉시  해안로 501 
62,계산1점,인천광역시,계양구,인천광역시 계양구 경명대로1029번길 9
63,계양1동점,인천광역시,계양구,인천광역시 계양구 황어로115번길 10
64,고강1점,경기도,부천시오정구,경기도 부천시오정구 소사로794번길 59
65,고강2점,경기도,부천시오정구,경기도 부천시오정구 고리울로52번길 35
66,고담리점,경기도,이천시,경기도 이천시 대월면 대산로288번길 72
67,고대점,충청남도,당진시,충청남도 당진시 고대면 고대로 47
68,고덕역점,서울특별시,강동구,"서울특별시 강동구 아리수로64길 11, 1층 (고덕동)"
69,고덕점,충청남도,예산군,충청남도 예산군 고덕면 용고길 353
70,고매리점,경기도,용인시기흥구,경기도 용인시기흥구 동탄기흥로 700 1층 (고매동)
71,고북점,충청남도,서산시,충청남도 서산시 고북면 고북1로 305-3
72,고양동점,경기도,고양시덕양구,경기도 고양시덕양구 혜음로8 
73,고잔2점,경기도,안산시단원구,"경기도 안산시단원구 민속공원로 95, 104호"
74,고잔점,경기도,안산시단원구,"경기도 안산시단원구 적금로 244, 문화연립상가동 110"
75,고척점,서울특별시,구로구,서울특별시 구로구 고척로 183-1
76,고천점,경기도,의왕시,"경기도 의왕시 효행로 44(오전동, 의왕빌딩3호)"
77,고한점,강원도,정선군,강원도 정선군  고한읍 고한로 151-1
78,곡반정점,경기도,수원시권선구,경기도 수원시권선구 곡선로50번길 48
79,곤명점,경상남도,사천시,경상남도 사천시 곤명면 완사2길23
80,곤지암점,경기도,광주시,경기도 광주시 곤지암읍 곤지암로 158
